name,official_url,primary_category,secondary_category,pricing_model,platform,short_description,open_source,api_available,last_verified
Agoge-ai,https://www.agoge-ai.com/,Education and learning,Developer infrastructure and models,Paid; Free Trial,Web,"No-code AI platform that automates data science workflows including data preprocessing, model training, evaluation, and deployment, enabling users to build machine learning models without programming skills.",false,false,2026-08-18
Agree.com,https://agree.com/,Business and finance,Presentations and documents,Paid; Free Trial,Web,"Web-based contract management platform that enables users to create, collaborate on, sign, and manage digital agreements with workflow automation and e-signature capabilities.",false,false,2026-08-18
Agreee.ai,https://www.agreee.ai/,Business and finance,Presentations and documents,Freemium,Web,"AI-driven contract review platform that automates legal document analysis, identifies risks, and facilitates collaboration to speed up contract management.",false,false,2026-08-18
AgriWebb,https://www.agriwebb.com/,Data and analytics,Chatbots and assistants,Paid,Web; iOS; Android,"Farm management software that helps farmers track livestock, plan operations, analyze data, and collaborate with teams through mobile and web apps.",false,false,2026-08-18
AHelp,https://ahelp.com/,Customer support,Automation and agents,Paid; Free Trial,Web; API,Customer support platform that automates helpdesk operations using chatbots and intelligent ticket management to improve response times and customer satisfaction.,false,true,2026-08-18
Ai & Stuff,https://aiandstuff.com/,Automation and agents,Image generation and editing,Freemium,Web,"Web platform providing multiple AI-powered tools for generating text and images, automating content tasks, and assisting creative workflows.",false,false,2026-08-18
ai action figure gen...,https://aiactionfiguregenerator.online/,Design and creative,Video,Free,Web,Free web tool that creates custom 3D action figure models from user descriptions using AI technology.,false,false,2026-08-18
AI Agent Store,https://aiagentstore.ai/,Research and knowledge,Automation and agents,Freemium,Web,"No-code platform that allows users to create, customize, and deploy AI-powered agents for automation and customer interaction without programming skills.",false,false,2026-08-18
AI Amazon Product Reviews / Manuals,https://productreviewgpt.com/,Business and finance,Presentations and documents,Freemium,Web,"Web tool that uses AI to generate detailed product reviews and manuals from Amazon product data, helping sellers and buyers quickly understand product features and customer feedback.",false,false,2026-08-18
AI Animate Image,https://www.aianimateimage.org/,Video,Image generation and editing,Free,Web,"Free online tool that uses AI to animate static photos, especially faces, creating realistic motion effects like blinking and smiling without needing software installation.",false,false,2026-08-18
AI Anime Generator,https://ai-anime-generator.com/,Image generation and editing,Chatbots and assistants,Freemium,Web,Web-based tool that creates anime-style character images from text prompts or style selections using artificial intelligence.,false,false,2026-08-18
AI App Icon,https://www.aiappicon.com/,Design and creative,Coding and development,Freemium,Web,"Web-based tool that uses artificial intelligence to generate custom, high-quality app icons quickly and easily for mobile applications.",false,false,2026-08-18
AI Application Assistant,https://www.aiapplicationassistant.com/,Automation and agents,Productivity and workflow,Freemium,Web; API,"AI-driven platform that helps developers by providing real-time code suggestions, automated bug detection, code optimization, and documentation generation to streamline app development.",false,true,2026-08-18
Ai Application Catalogue,https://juanbeltran.ch/,Research and knowledge,Data and analytics,Free,Web,"Free online directory curated by Juan BeltrÃƒÂ¡n that lists and categorizes AI applications across various industries, helping users discover and explore AI tools easily.",false,false,2026-08-18
AI Art Generator by Enhance AI,https://enhanceai.art/,Video,Image generation and editing,Freemium,Web,"Enhance AI's AI Art Generator is a web-based tool that creates unique digital artworks from text prompts using artificial intelligence, suitable for artists and content creators.",false,false,2026-08-18
AI Art Generator | 100% Free,https://aiartfree.online/,Image generation and editing,,Free,Web,Web-based tool that allows users to create unique digital artwork instantly using AI technology without any cost or registration.,false,false,2026-08-18
AI Art Weekly,https://aiartweekly.com/,Marketing and advertising,,Free,Web,"Free weekly newsletter delivering curated news, tools, and creative projects related to AI-generated art.",false,false,2026-08-18
AI audio transcription,https://transcribethis.io/,"Audio, music, and voice",Writing and content,Paid; Free Trial,Web,TranscribeThis is an AI-based audio transcription tool that converts audio files into accurate text transcripts quickly and securely.,false,false,2026-08-18
AI Avatar Generator,https://www.aiavatar.cc/,Design and creative,Image generation and editing,Freemium,Web,"Online tool that uses artificial intelligence to create personalized digital avatars from photos or text prompts, offering multiple styles and high-resolution downloads.",false,false,2026-08-18
AI Avatar Maker,https://www.avatarstyle.net/,Image generation and editing,,Freemium,Web,"Web-based tool that uses AI to generate custom avatars from photos or descriptions, offering multiple styles and easy downloads.",false,false,2026-08-18
AI Badge,https://aibadge.org/,Research and knowledge,Data and analytics,Free,Web,"Free web-based tool that verifies AI-generated content and issues a standardized badge to indicate authenticity, promoting transparency and trust.",false,false,2026-08-18
AI based live captioning system,https://live-captions.com/,"Audio, music, and voice",Writing and content,Freemium,Web,"The AI Based Live Captioning System provides real-time, accurate speech-to-text captions via a web platform, enhancing accessibility for live events and meetings.",false,false,2026-08-18
AI Bible Verse Studies,https://helpfromthebible.com/,Education and learning,Research and knowledge,Free,Web,"Free web tool that uses artificial intelligence to provide detailed explanations and contextual insights for any Bible verse, supporting personal and group scripture study.",false,false,2026-08-18
AI Blog Articles,https://getaiblogarticles.com/,SEO and search,Marketing and advertising,Paid; Free Trial,Web,Web-based AI content generation tool that helps users create SEO-friendly blog posts efficiently by inputting topics or keywords and customizing tone and length.,false,false,2026-08-18
AI Blood Test Analysis,https://blood-test.io/,Health and lifestyle,Data and analytics,Freemium,Web,"Online AI-powered platform that interprets blood test results, providing detailed explanations, health risk assessments, and personalized recommendations to help users understand their medical data.",false,false,2026-08-18
AI Book Summarizer,https://aibooksummarizer.com/,Education and learning,Productivity and workflow,Freemium,Web,"Online platform that uses artificial intelligence to create concise summaries of books, helping users quickly understand main ideas without reading the entire text.",false,false,2026-08-18
AI Bookkeeping,https://bookeeping.ai/en,Business and finance,Automation and agents,Paid; Free Trial,Web,"Web-based software that automates bookkeeping by categorizing transactions, tracking expenses, and generating financial reports using artificial intelligence.",false,false,2026-08-18
AI Buddy,https://ai-buddy.co/,Customer support,Automation and agents,Freemium,Web; API,Chatbot platform that helps businesses automate customer support and lead generation through customizable conversational bots and analytics.,false,true,2026-08-18
AI Builder Buddy,https://aibuilderbuddy.com/,Education and learning,Developer infrastructure and models,Paid; Free Trial,Web,"No-code platform that enables users to create, train, and deploy custom AI models without programming skills, streamlining AI adoption for businesses.",false,false,2026-08-18
AI Career Dreamer,https://careerdreamer.help/,Presentations and documents,Chatbots and assistants,Freemium,Web,"AI-driven career coaching platform that provides personalized advice, resume and cover letter assistance, interview preparation, and job search guidance to help users achieve their career goals.",false,false,2026-08-18
AI Chat Bestie,https://aichatbestie.com/,Customer support,Automation and agents,Freemium,Web,"Chatbot platform that automates customer support, lead generation, and conversational assistance primarily in English via a web interface.",false,false,2026-08-18
AI Chat SMS,https://www.aichatsms.com/,Customer support,Automation and agents,Paid; Free Trial,Web; API,"Platform that provides AI-powered SMS chatbots to automate business messaging, customer support, and marketing campaigns via text messages.",false,true,2026-08-18
AI Chatbot Hub,https://aichatbothub.com/,Customer support,Automation and agents,Freemium,Web,"No-code platform that lets you build, customize, and deploy AI-powered chatbots for websites and messaging platforms, focusing on ease of use and automation.",false,false,2026-08-18
AI ChatDocs,https://aichatdocs.com/,Presentations and documents,Research and knowledge,Freemium,Web,"Chatbot platform that enables users to upload documents and interact with them conversationally to get instant, context-aware answers.",false,false,2026-08-18
AI Chatroom,https://hi.bulita.net/,Customer support,"Audio, music, and voice",Free,Web,Free web-based platform that allows users to chat in real-time with AI-powered chatbots supporting English and Spanish languages without requiring registration.,false,false,2026-08-18
AI Chief Strategy Officer,https://chatthing.ai/,Productivity and workflow,"Audio, music, and voice",Freemium,Web; API,"AI-driven virtual assistant that helps businesses with strategic planning, market analysis, and decision making through conversational AI and data insights.",false,true,2026-08-18
AI Clone Voice Free,https://aiclonevoicefree.com/,"Audio, music, and voice",,Free,Web,Free web-based platform that lets you clone voices using AI and generate natural-sounding speech from text.,false,false,2026-08-18
AI Clothes Remover,https://anieraser.media.io/,Image generation and editing,,Freemium,Web,"Online tool that uses artificial intelligence to automatically remove clothes from photos, helping users anonymize images or create artistic edits.",false,false,2026-08-18
AI Coach Amotions,https://amotionsinc.com/,Video,,Paid,Web,"AI-driven platform that provides personalized emotional intelligence and leadership coaching to individuals and organizations, helping improve emotional awareness, empathy, and interpersonal skills.",false,false,2026-08-18
AI Code Mentor,https://code-mentor.ai/,Productivity and workflow,Coding and development,Freemium,Web,"Web-based AI coding assistant that provides real-time code review, debugging help, code generation, and programming explanations to developers and learners.",false,false,2026-08-18
AI Code Translator,https://ai-code-translator.com/,Coding and development,"Audio, music, and voice",Freemium,Web,"Web-based tool that uses artificial intelligence to automatically translate source code between multiple programming languages, helping developers save time and reduce errors.",false,false,2026-08-18
AI Coder Buddy,https://aicoderbuddy.com/,Productivity and workflow,Coding and development,Freemium,Web; API,"AI-driven tool that assists developers by generating code snippets, debugging code, and providing programming explanations to improve productivity.",false,true,2026-08-18
AI Coffee Club,https://aicoffee.club/,Productivity and workflow,Coding and development,Freemium,Web,"Web-based platform that combines AI writing assistance with collaborative tools to help teams create, brainstorm, and manage content projects efficiently.",false,false,2026-08-18
AI Collective,https://getaicollective.in/,SEO and search,Automation and agents,Freemium,Web,"AI-driven platform that helps marketers and businesses generate high-quality content such as blogs, social media posts, and ad copies quickly and efficiently.",false,false,2026-08-18
AI Coloring Page Generator,https://www.bestcoloringpages.ai/,Research and knowledge,Data and analytics,Freemium,Web,AI Coloring Page Generator creates custom printable coloring sheets using AI based on user input keywords or themes.,false,false,2026-08-18
AI ColoringBook,https://www.coloringbook.ai/,Education and learning,Image generation and editing,Freemium,Web,"Web-based tool that uses AI to generate custom line art coloring pages from user prompts, ideal for educational and creative purposes.",false,false,2026-08-18
AI Comic Generator,https://aicomicgenerator.net/,Research and knowledge,Design and creative,Freemium,Web,"Web tool that uses AI to create comic strips by generating artwork and text bubbles from user input, enabling easy comic creation without drawing skills.",false,false,2026-08-18
AI Consulting for Finance Teams,https://genfinance.ai/,Education and learning,Business and finance,Paid,Web,"GenFinance AI provides specialized AI consulting services designed to help finance teams improve financial analysis, forecasting, risk management, and automation through tailored AI solutions.",false,false,2026-08-18
AI Consulting Tools,https://aiconsultingtools.com/,Education and learning,Presentations and documents,Paid,Web,"AI Consulting Tools provides expert consulting services to help businesses develop AI strategies, automate processes, and plan AI integration for digital transformation.",false,false,2026-08-18
AI Course Creator - AcademyOcean,https://academyocean.com/,Education and learning,Automation and agents,Paid,Web,"AcademyOcean's AI Course Creator is a web platform that uses AI to automate the creation of online courses, helping educators and trainers quickly generate structured content, customize lessons, and manage learner progress.",false,false,2026-08-18
AI Cover,https://aicover.fun/,Design and creative,"Audio, music, and voice",Freemium,Web,"Online tool that uses artificial intelligence to generate custom cover art for music, books, and other creative projects quickly and easily.",false,false,2026-08-18
AI Cover Letter Creator,https://aicoverlettercreator.com/,Presentations and documents,Writing and content,Freemium,Web,"Online tool that uses artificial intelligence to generate customized cover letters based on your job details and skills, helping you apply faster and more effectively.",false,false,2026-08-18
AI CSS Animations,https://www.aicssanimations.com/,Coding and development,Video,Free,Web,Free online tool that helps web designers and developers generate customizable CSS animation code quickly without manual coding.,false,false,2026-08-18
AI Cupid,https://www.aicupid.net/,Health and lifestyle,Writing and content,Freemium,Web,Web tool that helps users generate and optimize dating profiles and messages to improve online dating success.,false,false,2026-08-18
AI Data Collection Company,https://gts.ai/,Education and learning,Developer infrastructure and models,Paid,Web,"AI Data Collection Company by GTS AI provides specialized data annotation and collection services for AI and machine learning projects, supporting multiple data types with expert human annotators and quality assurance.",false,false,2026-08-18
AI Data Sidekick,https://www.airops.com/,Automation and agents,Data and analytics,Freemium,Web,"Web-based AI tool that automates data analysis, cleaning, and workflow processes to help businesses extract insights efficiently.",false,false,2026-08-18
AI Dating Bio Generator,https://aidating.bio/,Health and lifestyle,Writing and content,Freemium,Web,Web tool that creates personalized dating bios using AI to help users craft engaging online profiles quickly.,false,false,2026-08-18
AI Dating Coach,https://www.dating-coach.ai/,Health and lifestyle,Research and knowledge,Freemium,Web,"Platform providing personalized advice to improve online dating profiles, messaging, and confidence for better dating outcomes.",false,false,2026-08-18
AI Describe Picture,https://describepicture.org/,Image generation and editing,Writing and content,Free,Web,"Free web tool that uses AI to generate descriptive captions for images, enhancing accessibility and SEO by providing automatic alt text.",false,false,2026-08-18
AI Design,https://aidesigns.top/,Design and creative,Automation and agents,Freemium,Web,"Web platform that uses artificial intelligence to automate graphic design, enabling users to create logos, posters, and marketing visuals quickly with customizable AI-generated templates.",false,false,2026-08-18
AI Design Training,https://aidesigntraining.com/coming-soon,Education and learning,Writing and content,Paid; Free Trial,Web,Online platform that uses artificial intelligence to provide personalized UX/UI and creative design education through interactive courses and project feedback.,false,false,2026-08-18
AI Detector & Plagiarism Scan,https://textdetector.ai/,Writing and content,Chatbots and assistants,Freemium,Web,Web tool that identifies AI-generated text and checks for plagiarism to ensure content originality.,false,false,2026-08-18
AI Detector Writer,https://aidetectorwriter.com/,Writing and content,,Free,Web,"Free online tool that analyzes text to determine if it was generated by AI, providing a confidence score and detailed report to help users verify content authenticity.",false,false,2026-08-18
AI Diary,https://aidiary.io/,Health and lifestyle,Productivity and workflow,Freemium,Web; iOS; Android,"Personal journaling and mood tracking app that uses AI to assist with writing, analyze emotional patterns, and provide personalized prompts to support mental wellness.",false,false,2026-08-18
AI Digital Learning,https://aidigitallearning.com/,Education and learning,,Paid,Web,"AI-driven platform that personalizes online education by adapting content to individual learner needs, supporting K-12, higher education, and corporate training.",false,false,2026-08-18
AI Disturbance Overlay,https://aidisturbance.online/,Research and knowledge,Data and analytics,Free,Web,"Free web-based tool that applies real-time AI-generated noise and visual disturbance overlays to images and videos, enabling creators to add unique artistic effects without installation.",false,false,2026-08-18
ai drawing generator,https://ai-drawing-generator.com/,Image generation and editing,,Freemium,Web,"Web-based tool that creates digital drawings from text prompts using AI, offering multiple art styles and easy downloads.",false,false,2026-08-18
AI Drum Generator,https://aidrumgenerator.com/,"Audio, music, and voice",,Free,Web,Free web-based tool that uses artificial intelligence to create custom drum patterns quickly and easily without requiring advanced skills.,false,false,2026-08-18
AI Dungeon,https://aidungeon.com/,Health and lifestyle,Writing and content,Freemium,Web; iOS; Android,AI-driven platform that generates interactive text-based stories and roleplaying adventures dynamically based on user input.,false,false,2026-08-18
AI Email Generator,https://aiemailgenerate.com/,Automation and agents,Productivity and workflow,Freemium,Web,Web tool that uses artificial intelligence to help users quickly draft professional emails with customizable tone and templates.,false,false,2026-08-18
AI Engager,https://aiengager.com/,Customer support,Sales and CRM,Paid; Free Trial,Web,"Web-based AI chatbot platform designed to automate customer interactions, generate leads, and integrate with CRM systems to improve business engagement.",false,false,2026-08-18
AI Face Analyzer-Beauty Score Calculator,https://aifaceanalyzer.online/,Research and knowledge,Data and analytics,Free,Web,Free web tool that uses AI to analyze facial features and generate a beauty score based on symmetry and proportions.,false,false,2026-08-18
AI Flirting Helper,https://flirtypickuplines.com/,Health and lifestyle,Writing and content,Free,Web,Free web tool that generates creative pickup lines and romantic messages to assist users in dating and social conversations.,false,false,2026-08-18
AI Gahaku,https://ai-art.tokyo/,Image generation and editing,,Free,Web,Free web-based AI art generator that converts photos into classical portrait paintings using deep learning.,false,false,2026-08-18
Ai Gallery,https://aigallery.app/,Productivity and workflow,Image generation and editing,Freemium,Web,"Web-based platform that enables users to create unique digital artworks using AI-powered text-to-image generation, share them with a community, and download creations.",false,false,2026-08-18
AI Game Master- Dungeon RPG,https://www.aigamemaster.app/,Writing and content,,Freemium,Web,"Web-based AI tool that helps tabletop RPG players and Dungeon Masters generate dynamic storylines, quests, and characters, supporting both solo and group play.",false,false,2026-08-18
AI Garage Sale,https://www.aigaragesale.com/,Business and finance,,Freemium,Web,Online marketplace that helps users buy and sell used items with AI-assisted price suggestions and personalized recommendations.,false,false,2026-08-18
AI Geometric,https://www.aigeometric.com/,Design and creative,Chatbots and assistants,Freemium,Web,"Web-based 3D modeling software that uses AI to help users create complex geometric designs quickly and intuitively, suitable for designers, educators, and creatives.",false,false,2026-08-18
AI Gift Guru,https://aigiftguru.com/,Business and finance,,Freemium,Web,"AI-driven platform that provides personalized gift recommendations based on recipient details and occasion, helping users find thoughtful gifts quickly.",false,false,2026-08-18
AI Grant,https://aigrant.org/,Customer support,Research and knowledge,Free,Web,"Nonprofit platform providing free grant funding specifically for artificial intelligence research and innovation projects, supporting researchers, startups, and organizations.",false,false,2026-08-18
AI graph maker,https://aigraphmaker.net/,Data and analytics,,Free,Web,Free web-based tool that uses AI to help users quickly create and customize various types of graphs and charts from their data without needing advanced skills.,false,false,2026-08-18
AI HD Anime,https://aihdanime.com/,Video,Image generation and editing,Freemium,Web,"Online AI tool that upscales and enhances anime videos by increasing resolution, reducing noise, and sharpening details to produce high-definition outputs.",false,false,2026-08-18
AI Headshot Generators,https://aiheadshotgenerators.com/,Image generation and editing,,Freemium,Web,Web-based platform that uses artificial intelligence to create realistic and customizable professional headshots quickly and easily without the need for traditional photography.,false,false,2026-08-18
AI Headshots,https://ai-headshots.net/,Image generation and editing,,Free,Web,"Web service that generates realistic professional headshot photos using AI from user-uploaded selfies, offering multiple styles and high-resolution downloads.",false,false,2026-08-18
AI headshots and selfies,https://kahma.io/,Image generation and editing,,Freemium,Web,"Kahma AI offers a web-based tool that generates realistic AI headshots and selfies from user photos, ideal for professional profiles and social media.",false,false,2026-08-18
AI Hits,https://aihits.co/,"Audio, music, and voice",Video,Freemium,Web,"AI-driven music generation platform that creates royalty-free, customizable music tracks for content creators, marketers, and developers via a simple web interface.",false,false,2026-08-18
AI HomeDesign,https://aihomedesign.com/,Design and creative,,Freemium,Web,"Web-based interior design tool that uses artificial intelligence to help users create, customize, and visualize home layouts and floor plans with 3D visualization and furniture placement features.",false,false,2026-08-18
AI Homework Helper,https://aihomeworkhelper.co/,Education and learning,Writing and content,Freemium,Web,"Online AI-powered platform that provides students with detailed homework help, step-by-step solutions, essay writing assistance, and test preparation support.",false,false,2026-08-18
"AI Hug Video Generator, Hug Video Studio",https://aihug.app/,Video,Image generation and editing,Freemium,Web,"Web-based tool that creates videos from text using AI avatars and text-to-speech technology, enabling fast and easy video production without filming.",false,false,2026-08-18
AI Icon Generator,https://themebutler.com/,Design and creative,,Freemium,Web,"Web-based tool that uses AI to create custom icons from user keywords, offering quick, scalable icon designs for various projects.",false,false,2026-08-18
AI Image and Video Generators,https://aiimageandvideogenerators.xyz/,Video,Image generation and editing,Freemium,Web,"Web platform that allows users to create images and videos using AI technology by inputting text prompts or other instructions, enabling fast and creative media production.",false,false,2026-08-18
AI image extender,https://aiimageextender.com/,Image generation and editing,,Freemium,Web,"Online tool that uses artificial intelligence to seamlessly extend images by generating new content around the original photo, enabling natural background expansion and image resizing without cropping.",false,false,2026-08-18
AI Image Generator/Search,https://www.ai-img-gen.com/,Image generation and editing,,Freemium,Web,Web platform that allows users to generate images from text prompts and search a database of AI-created images for creative and commercial use.,false,false,2026-08-18
AI Image to Video Online,https://imagetovideoai.io/,Video,Image generation and editing,Freemium,Web,"Web-based tool that converts static images into animated videos using AI technology, offering easy video creation without editing skills.",false,false,2026-08-18
AI Images Editor,https://aiimageeditor.ai/,Video,Image generation and editing,Freemium,Web,"Web-based tool that uses artificial intelligence to enhance photos, remove backgrounds, and upscale images quickly and easily without requiring advanced skills.",false,false,2026-08-18
AI images for hospitality providers,https://colossis.io/blog/sub-015-lpips-cuts-time-to-contract-17-in-2026-mls-data.php,Health and lifestyle,Marketing and advertising,Freemium,Web,Colossis offers an AI-powered image generation platform designed specifically for hospitality providers to create customized marketing visuals easily and affordably.,false,false,2026-08-18
AI Insult Generator,https://aiinsults.com/,Research and knowledge,Data and analytics,Free,Web,Free web-based tool that creates humorous and creative insults instantly for entertainment and creative use.,false,false,2026-08-18
AI Interior Room Planner,https://aiinteriorplanner.com/,Design and creative,,Paid; Free Trial,Web,Web-based tool that uses artificial intelligence to help users design and visualize interior room layouts with optimized furniture placement and 3D visualization.,false,false,2026-08-18
AI is a Joke,https://aiisajoke.com/maintenance,Research and knowledge,Data and analytics,Free,Web,Joke is a free web platform that generates humorous and satirical AI content for entertainment and creative inspiration.,false,false,2026-08-18
AI Keywords To Posts,https://aiktp.com/,SEO and search,Automation and agents,Paid; Free Trial,Web,"Web tool that converts your keywords into full blog posts using AI, helping you automate content creation efficiently.",false,false,2026-08-18
AI Kissing Video Generator Free,https://www.aikissingvideogenerator.org/,Video,Image generation and editing,Free,Web,Web-based tool that creates realistic kissing videos by synthesizing uploaded facial photos using AI technology. It is free and easy to use for entertainment and creative purposes.,false,false,2026-08-18
AI Kungfu Video Generator,https://aikungfu.app/,Marketing and advertising,Video,Paid; Free Trial,Web,"Web-based tool that uses AI to convert text scripts into videos quickly and easily, ideal for marketers and content creators.",false,false,2026-08-18
ai LaMo,https://www.ailamo.com/,Customer support,Automation and agents,Freemium,Web; API,"Chatbot platform that helps businesses automate customer support and engagement with multilingual, customizable chatbots accessible via web and API.",false,true,2026-08-18
AI Landing Page Generator,https://www.ailandingpagegenerator.com/,Marketing and advertising,,Freemium,Web,"Web tool that uses AI to create customizable, mobile-friendly landing pages quickly without coding skills, ideal for marketers and businesses.",false,false,2026-08-18
AI Law,https://www.ai.law/,Business and finance,Presentations and documents,Paid,Web,"UK-based legal technology platform that uses artificial intelligence to automate contract review, risk assessment, and legal document drafting, helping legal teams improve efficiency and accuracy.",false,false,2026-08-18
AI Lawyer,https://ailawyer.pro/,Business and finance,Presentations and documents,Freemium,Web,AI-driven legal tech platform that automates contract drafting and document review to help legal professionals and businesses save time and reduce errors.,false,false,2026-08-18
AI Lawyer Lab,https://ailawyerlab.com/,Business and finance,Presentations and documents,Freemium,Web,"AI-driven platform that helps legal professionals draft, review, and automate legal documents efficiently using customizable templates and natural language processing.",false,false,2026-08-18
AI LingoPlay,https://ailingoplay.com/,Education and learning,,Freemium,Web,"Language learning platform that offers interactive conversation practice, pronunciation feedback, and personalized lessons to help users learn languages effectively.",false,false,2026-08-18
AI LinkedIn Banners,https://www.ailinkedinbanners.com/,Design and creative,Marketing and advertising,Freemium,Web,"Web tool that uses AI to generate and customize LinkedIn banner images, helping users create professional profile headers quickly without design skills.",false,false,2026-08-18
AI Listify,https://www.ailistify.com/,Productivity and workflow,Marketing and advertising,Freemium,Web,"AI-driven tool that generates structured lists for content marketing, SEO, and idea organization, helping users create engaging and readable lists quickly.",false,false,2026-08-18
AI Localizer,https://www.wideanglesoftware.com/,Video,Writing and content,Paid; Free Trial,Web,Tool that automates software and website localization by translating content into multiple languages with quality assurance and collaboration features.,false,false,2026-08-18
AI Logo Generator,https://ailogogenerator.net/,Design and creative,,Freemium,Web,"Online tool that uses artificial intelligence to create custom logos quickly, offering multiple design options and customization features with pay-per-download pricing.",false,false,2026-08-18
AI Love Code,https://ailovecode.com/,Coding and development,Chatbots and assistants,Freemium,Web,"AI-driven platform that assists developers by generating code snippets, reviewing existing code, and providing debugging suggestions to enhance productivity.",false,false,2026-08-18
AI Lyrics Generator,https://lyricsgenerator.com/,"Audio, music, and voice",Writing and content,Freemium,Web,"Web-based tool that uses artificial intelligence to create original song lyrics based on user inputs like themes and moods, helping songwriters generate creative content efficiently.",false,false,2026-08-18
AI Magicx,https://www.aimagicx.com/?gr_pk=dnQL,Education and learning,Developer infrastructure and models,Paid; Free Trial,Web,"AI-driven marketing automation platform that helps businesses automate and optimize advertising campaigns across multiple platforms like Facebook, Google, and TikTok to improve performance and ROI.",false,false,2026-08-18
AI Majic,https://aimajic.com/,Image generation and editing,Writing and content,Freemium,Web,"Web-based AI art generator that creates unique images from text prompts, offering multiple art styles and easy customization for digital artists and creators.",false,false,2026-08-18
AI Manga Translators,https://mangatranslator.io/,Education and learning,Research and knowledge,Freemium,Web,Online tool that uses AI to translate manga images from Japanese to English quickly and efficiently.,false,false,2026-08-18
AI Mastering,https://aimastering.com/,"Audio, music, and voice",,Paid,Web,"Online service that uses artificial intelligence to automatically master audio tracks, providing musicians and podcasters with professional-quality sound quickly and affordably.",false,false,2026-08-18
AI Math,https://ai-math.top/,Education and learning,,Free,Web,Free online AI-powered tool that solves various math problems instantly and provides detailed step-by-step solutions to help students and learners understand math concepts better.,false,false,2026-08-18
AI Meal Planner,https://ai-mealplan.com/,Health and lifestyle,Research and knowledge,Freemium,Web,"Web-based tool that uses artificial intelligence to generate personalized weekly meal plans and grocery lists based on your dietary preferences, restrictions, and nutritional goals.",false,false,2026-08-18
AI Minecraft,https://aiminecraft.ai/,Health and lifestyle,Chatbots and assistants,Freemium,Web,"Assistant and mod tool that enhances Minecraft gameplay by providing building assistance, strategic guidance, and creative content generation within the game.",false,false,2026-08-18
Ai Movie Poster Generator,https://movieaiposter.com/,Design and creative,Video,Freemium,Web,"Web tool that creates custom movie posters using AI based on user input, ideal for filmmakers and marketers.",false,false,2026-08-18
AI Music (Free),https://aimusiclab.co/,"Audio, music, and voice",,Free,Web,"Free web-based tool that generates original music tracks using artificial intelligence, allowing users to customize styles and moods and download royalty-free songs without any cost or account registration.",false,false,2026-08-18
"AI Music API, Free Cheap AI Music",https://udioapi.pro/,Coding and development,"Audio, music, and voice",Freemium,Web; API,AI Music API by UdioAPI provides developers with a free and affordable way to generate royalty-free AI-composed music tracks via an easy-to-use API supporting multiple genres and moods.,false,true,2026-08-18
Ai Musician - AI Music Generator,https://aimusician.ai/,"Audio, music, and voice",,Freemium,Web,"Web platform that generates original, royalty-free music tracks customized by genre, mood, and length for creators without musical expertise.",false,false,2026-08-18
AI News Daily,https://weekdays.ai/,Writing and content,,Freemium,Web,"Web platform that delivers automated, curated daily summaries of the latest artificial intelligence news, helping users stay informed efficiently.",false,false,2026-08-18
AI Office Bot,https://aiofficebot.com/,Automation and agents,Productivity and workflow,Freemium,Web; API,"Virtual assistant designed to automate office tasks such as scheduling, reminders, and communication, helping businesses improve productivity.",false,true,2026-08-18
Ai online course,https://www.aionlinecourse.com/,Education and learning,Developer infrastructure and models,Freemium,Web,"Web-based platform providing structured courses in artificial intelligence, offering video lessons, quizzes, projects, and certification to help learners develop AI skills.",false,false,2026-08-18
AI or Not,https://www.aiornot.com/,Writing and content,,Free,Web,Free online tool that detects whether text is generated by AI or written by a human by analyzing linguistic patterns and providing a confidence score.,false,false,2026-08-18
AI OTAKU LABO,https://ai-otaku-labo.com/,Image generation and editing,,Freemium,Web,"Web-based AI art generator focused on creating anime-style images using text prompts and style customization, suitable for anime fans and creators.",false,false,2026-08-18
AI Parabellum,https://aiparabellum.com/,Presentations and documents,Automation and agents,Freemium,Web,AI-driven content generation tool designed to help users create various types of written content quickly and efficiently using advanced natural language processing.,false,false,2026-08-18
AI PDF bank statement parser,https://aibankparser.com/,Business and finance,Presentations and documents,Paid; Free Trial,Web,"Web-based tool that uses AI and OCR to automatically extract transaction and account data from PDF bank statements, enabling faster financial data processing and integration.",false,false,2026-08-18
AI PDF redaction tool App,https://ai-redact.com/,Presentations and documents,Productivity and workflow,Paid; Free Trial,Web,"Web-based solution that uses AI to identify and permanently remove sensitive data from PDF documents, ensuring privacy and compliance.",false,false,2026-08-18
AI PDF Summarizer by PDF Guru,https://pdfguru.com/,Presentations and documents,Automation and agents,Freemium,Web,"Web-based tool that uses artificial intelligence to create concise summaries of PDF documents, helping users quickly understand key points without reading the entire file.",false,false,2026-08-18
AI Perfect Assistant - GPT for Office365,https://perfectassistant.ai/,Automation and agents,Productivity and workflow,Freemium,Web,"GPT-4 powered AI tool integrated with Microsoft Office365 apps to automate email drafting, document summarization, and streamline office workflows.",false,false,2026-08-18
AI Phone,https://www.aiphone.ai/,Automation and agents,Productivity and workflow,Paid; Free Trial,Web,"AI-driven virtual phone system that automates call answering, voicemail transcription, and call routing to improve business communication efficiency.",false,false,2026-08-18
AI Photo Robot,https://aiphotorobot.com/,Image generation and editing,,Freemium,Web,"Online AI-powered photo editing tool that automates background removal, photo enhancement, and portrait retouching to simplify image editing for users without advanced skills.",false,false,2026-08-18
